,city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
29983,Sirāli,Sirali,22.1519,77.0617,India,IN,IND,Madhya Pradesh,,15507.0,1356410453
29984,Meghauna,Meghauna,25.6904,86.3809,India,IN,IND,Bihār,,15506.0,1356322048
29993,Pipra Latīf,Pipra Latif,25.3579,86.7174,India,IN,IND,Bihār,,15498.0,1356257799
29998,Patilār,Patilar,27.0361,84.2106,India,IN,IND,Bihār,,15491.0,1356081104
30002,Kurāwar,Kurawar,23.5118,77.0246,India,IN,IND,Madhya Pradesh,,15487.0,1356791434
30004,Asthānwān,Asthanwan,25.2215,85.6262,India,IN,IND,Bihār,,15486.0,1356091403
30006,Vemuladīvi,Vemuladivi,16.3408,81.6958,India,IN,IND,Andhra Pradesh,,15484.0,1356562018
30007,Maurānwān,Mauranwan,26.43,80.88,India,IN,IND,Uttar Pradesh,,15484.0,1356619103
30023,Pichhor,Pichhor,25.9602,78.3893,India,IN,IND,Madhya Pradesh,,15477.0,1356491423
30039,Sarai Jattān,Sarai Jattan,31.1797,75.6745,India,IN,IND,Punjab,,15466.0,1356134900
30050,Udala,Udala,21.5781,86.5668,India,IN,IND,Odisha,,15459.0,1356120498
30058,Turhāpatti,Turhapatti,26.8511,84.4522,India,IN,IND,Bihār,,15455.0,1356428490
30060,Phulaut,Phulaut,25.5114,86.9375,India,IN,IND,Bihār,,15454.0,1356310414
30061,Bilgi,Bilgi,16.3472,75.6181,India,IN,IND,Karnātaka,,15454.0,1356393849
30067,Mitrapur,Mitrapur,24.4371,87.9666,India,IN,IND,West Bengal,,15452.0,1356115899
30069,Chilamattūru,Chilamatturu,13.8394,77.7039,India,IN,IND,Andhra Pradesh,,15449.0,1356493610
30077,Kambadūru,Kambaduru,14.3575,77.2186,India,IN,IND,Andhra Pradesh,,15441.0,1356132175
30082,Arumbāvūr,Arumbavur,11.381,78.7296,India,IN,IND,Tamil Nādu,,15437.0,1356133950
